Directgov searches,Business Link searches,Total monthly searches,When I search for...,Then I...,see...,in the top ... results
,,0,birth certificate,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,3
,,0,birth certificate,should,https://www.gov.uk/register-offices,5
,,0,birth registration,should not,https://www.gov.uk/buy-a-personalised-registration-number,10
,,0,birth registration,should not,https://www.gov.uk/vehicle-registration,10
,,0,book a driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book driving practical test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book driving test,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,book driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book driving theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,book my driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book practical test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book practical test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book test,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,book test,should,https://www.gov.uk/book-life-in-uk-test,5
,,0,book test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,book theory,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,book theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,book theory test,should,https://www.gov.uk/book-your-instructor-theory-test,5
,,0,book your driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,booking driving test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,booking practical test,should,https://www.gov.uk/book-practical-driving-test,3
,,0,booking theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
,,0,br19,should,https://www.gov.uk/state-pension,10
,,0,budgeting loans,should,https://www.gov.uk/budgeting-loans,3
,,0,budgeting loans,should,https://www.gov.uk/crisis-loans,5
,,0,carer's allowance,should,https://www.gov.uk/carers-allowance,3
,,0,carers,should,https://www.gov.uk/carers-allowance,5
,,0,child benefit form,should,https://www.gov.uk/child-benefit,3
,,0,child benefits,should,https://www.gov.uk/child-benefit,3
,,0,child maintenance,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,5
,,0,child maintenance,should,https://www.gov.uk/arranging-child-maintenance-yourself,5
,,0,child maintenance,should,https://www.gov.uk/calculate-child-maintenance,5
,,0,child support,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,5
,,0,child support,should,https://www.gov.uk/arranging-child-maintenance-yourself,5
,,0,child support,should,https://www.gov.uk/calculate-child-maintenance,5
,,0,child support agency,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,3
,,0,childcare,should,https://www.gov.uk/childcare-tax-credits,3
,,0,childcare,should,https://www.gov.uk/childcare-vouchers-better-off-calculator,3
,,0,childcare,should,https://www.gov.uk/help-with-childcare-costs,5
,,0,childcare vouchers,should,https://www.gov.uk/childcare-vouchers-better-off-calculator,3
,,0,citizenship,should,https://www.gov.uk/becoming-a-british-citizen,3
,,0,cleaning jobs,should,https://www.gov.uk/jobs-jobsearch,3
,,0,clock change,should,https://www.gov.uk/when-do-the-clocks-change,1
,,0,companies house,should not,https://www.gov.uk/housing-benefit,10
,,0,company name,should,https://www.gov.uk/get-information-about-a-company,5
,,0,company name,should,https://www.gov.uk/limited-company-formation,5
,,0,company names,should,https://www.gov.uk/get-information-about-a-company,5
,,0,company names,should,https://www.gov.uk/limited-company-formation,5
,,0,contact child support agency,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,3
,,0,contact csa,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,3
,,0,contact student finance,should,https://www.gov.uk/contact-student-finance-england,3
,,0,contact student finance england,should,https://www.gov.uk/contact-student-finance-england,3
,,0,council tax band,should,https://www.gov.uk/council-tax,3
,,0,council tax band,should,https://www.gov.uk/council-tax-bands,3
,,0,council tax band a,should,https://www.gov.uk/council-tax-bands,3
,,0,council tax band c,should,https://www.gov.uk/council-tax-bands,3
,,0,council tax banding,should,https://www.gov.uk/council-tax-bands,3
,,0,council tax bands,should,https://www.gov.uk/council-tax,3
,,0,council tax bands,should,https://www.gov.uk/council-tax-bands,3
,,0,council tax benefit,should,https://www.gov.uk/apply-council-tax-benefit,3
,,0,council tax benefit,should,https://www.gov.uk/council-tax-benefit,3
,,0,council tax rates,should,https://www.gov.uk/council-tax,3
,,0,criminal records,should not,https://www.gov.uk/claim-compensation-criminal-injury,10
,,0,criminal records,should not,https://www.gov.uk/courts,10
,,0,criminal records,should not,https://www.gov.uk/look-up-adoption-records,10
,,0,csa contact number,should,https://www.gov.uk/arranging-child-maintenance-through-child-support-agency,3
,,0,customs tariff,should,https://www.gov.uk/finding-commodity-codes,3
,,0,customs tariff,should,https://www.gov.uk/trade-tariff,3
,,0,death,should,https://www.gov.uk/after-a-death,3
,,0,death,should,https://www.gov.uk/bereavement-allowance,10
,,0,death,should,https://www.gov.uk/bereavement-payment,10
,,0,death,should,https://www.gov.uk/find-bereavement-services-from-council,10
,,0,death,should,https://www.gov.uk/find-persons-will,10
,,0,death,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,10
,,0,death,should,https://www.gov.uk/wills-probate-inheritance,5
,,0,death,should not,https://www.gov.uk/get-birthday-or-anniversary-message-from-the-queen,20
,,0,death,should not,https://www.gov.uk/organ-donation-register,10
,,0,declare sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,3
,,0,design principles,should,https://www.gov.uk/designprinciples,3
,,0,driving jobs,should,https://www.gov.uk/jobs-jobsearch,3
,,0,driving license,should,https://www.gov.uk/apply-first-provisional-driving-licence,5
,,0,driving license,should,https://www.gov.uk/apply-online-to-replace-a-driving-licence,5
,,0,driving license,should,https://www.gov.uk/change-address-driving-licence,5
,,0,driving license,should,https://www.gov.uk/change-photo-driving-licence,5
,,0,driving license,should not,https://www.gov.uk/licence-finder,5
,,0,dsa,should,https://www.gov.uk/disabled-students-allowances-dsas,3
,,0,e111,should,https://www.gov.uk/apply-renew-european-health-insurance-card,3
,,0,ema,should,https://www.gov.uk/education-maintenance-allowance-ema,3
,,0,employing people,should not,https://www.gov.uk/alcohol-young-people-law,10
,,0,employing people,should not,https://www.gov.uk/young-people-in-custody,10
,,0,equality,should not,https://www.gov.uk/drink-drive-limit,10
,,0,equality,should not,https://www.gov.uk/inherits-someone-dies-without-will,10
,,0,find a job,should,https://www.gov.uk/jobs-jobsearch,2
,,0,health and safety,should,https://www.gov.uk/carrying-out-health-and-safety-risk-assessments,3
,,0,health and safety,should,https://www.gov.uk/health-safety-at-work,3
,,0,health and safety,should,https://www.gov.uk/report-an-accident-or-health-and-safety-incident,5
,,0,health and safety,should,https://www.gov.uk/workplace-accidents-and-injuries,5
,,0,heating allowance,should,https://www.gov.uk/cold-weather-payment,5
,,0,heating allowance,should,https://www.gov.uk/warm-front-scheme,5
,,0,heating allowance,should,https://www.gov.uk/winter-fuel-payment,3
,,0,holiday pay calculator,should,https://www.gov.uk/calculate-your-holiday-entitlement,3
,,0,holiday pay calculator,should,https://www.gov.uk/holiday-entitlement-your-rights,3
,,0,housing benefits,should,https://www.gov.uk/housing-benefit,3
,,0,housing benifit,should,https://www.gov.uk/housing-benefit,3
,,0,how much is a passport,should,https://www.gov.uk/passport-fees,3
,,0,how much is council tax,should,https://www.gov.uk/council-tax,3
,,0,how much is state pension,should,https://www.gov.uk/state-pension,3
,,0,how much is statutory sick pay,should,https://www.gov.uk/sick-leave-pay-employees,5
,,0,how much is statutory sick pay,should,https://www.gov.uk/statutory-sick-pay-ssp,3
,,0,how to register,should,https://www.gov.uk/register-birth,50
,,0,how to register,should not,https://www.gov.uk/register-stillbirth,5
,,0,immigration,should,https://www.gov.uk/becoming-a-british-citizen,5
,,0,immigration,should,https://www.gov.uk/legal-advice-immigration-asylum,5
,,0,income tax,should,https://www.gov.uk/income-tax,3
,,0,income tax,should,https://www.gov.uk/income-tax-rates,3
,,0,job center,should,https://www.gov.uk/jobs-jobsearch,3
,,0,job centre,should,https://www.gov.uk/jobs-jobsearch,5
,,0,job vacancies,should,https://www.gov.uk/jobs-jobsearch,2
,,0,jobcentre,should,https://www.gov.uk/jobs-jobsearch,5
,,0,jobcentre plus,should,https://www.gov.uk/jobs-jobsearch,3
,,0,jobcentreplus,should,https://www.gov.uk/jobs-jobsearch,3
,,0,jobsearch,should,https://www.gov.uk/jobs-jobsearch,2
,,0,jobseeker's allowance,should,https://www.gov.uk/benefits-adviser,5
,,0,jobseeker's allowance,should,https://www.gov.uk/jobs-jobsearch,5
,,0,jobseeker's allowance,should,https://www.gov.uk/jobseekers-allowance,3
,,0,learning difficulties,should,https://www.gov.uk/children-with-special-educational-needs,5
,,0,learning difficulties,should not,https://www.gov.uk/learning-to-drive-a-tractor-or-specialist-vehicle,5
,,0,legal aid,should,https://www.gov.uk/legal-aid,3
,,0,lha,should,https://www.gov.uk/housing-benefit,3
,,0,licence,should,https://www.gov.uk/licence-finder,3
,,0,license,should,https://www.gov.uk/licence-finder,3
,,0,login,should,https://www.gov.uk/student-finance-register-login,3
,,0,make a sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,3
,,0,marriage,should,https://www.gov.uk/marriages-civil-partnerships,3
,,0,marriage,should,https://www.gov.uk/order-copy-birth-death-marriage-certificate,5
,,0,mot check,should,https://www.gov.uk/check-mot-status-vehicle,3
,,0,mot checker,should,https://www.gov.uk/check-mot-status-vehicle,3
,,0,mot test,should,https://www.gov.uk/getting-an-mot,3
,,0,music licence,should,https://www.gov.uk/licence-finder,3
,,0,national minimum wage,should,https://www.gov.uk/your-right-to-minimum-wage,3
,,0,new business,should,https://www.gov.uk/starting-a-business,5
,,0,new passport,should,https://www.gov.uk/apply-renew-passport,3
,,0,old age pension,should,https://www.gov.uk/state-pension,3
,,0,out of date driving licence,should,https://www.gov.uk/change-photo-driving-licence,5
,,0,out of date driving licence,should,https://www.gov.uk/renew-your-driving-licence-if-you-are-70-or-over,5
,,0,part time jobs,should,https://www.gov.uk/jobs-jobsearch,3
,,0,part time student finance,should,https://www.gov.uk/apply-for-student-finance-2012-13,3
,,0,passport application,should,https://www.gov.uk/apply-renew-passport,3
